location,lat,lon,temp_c,rh,wind_mps
ACHNA,35.02551,33.77443,30.6,51.0,2.2
AGROS,34.91488,33.01567,27.3,32.0,1.2
AKAMAS,35.02597,32.32894,25.9,65.0,7.56
ASTROMERITIS,35.13305,33.02202,30.2,44.0,1.8
ATHALASSA,35.14096,33.39658,31.8,39.0,1.1
ATHIENOU,35.05023,33.5423,32.5,43.0,1.6
AVDIMOU,34.68437,32.75737,30.8,50.0,2.1
CAVO_GRECO,34.97101,34.07079,28.9,62.0,5.2
CHROMIO,34.94296,32.86553,21.8,29.0,1.4
CYTASAT,34.86126,33.38253,30.3,44.0,1.9
EPTAGONEIA,34.84726,33.14337,29.0,42.0,2.6
FARMAKAS,34.92094,33.13424,29.6,29.0,2.6
FRENAROS,35.0424,33.91761,30.5,55.0,3.0
KALOPANAYIOTIS,35.00534,32.82627,30.7,38.0,1.4
KAMPOS,35.07215,32.77403,31.8,41.0,2.4
KANNAVIOU,34.92979,32.58597,28.4,50.0,2.0
KILANI,34.84389,32.84447,27.6,40.0,2.0
KOURIS,34.72291,32.92244,29.9,50.0,2.5
KPYRGOS,35.18156,32.6871,30.5,53.0,2.8
KYPEROUNTA,34.94917,32.9825,25.6,30.0,1.8
LCLK,34.87348,33.61734,30.3,55.0,5.4
LCPH,34.71544,32.47907,28.5,58.0,1.9
LEFKARA,34.89584,33.29288,34.9,28.0,0.5
LEFKOSIA,35.16437,33.35607,31.8,41.0,0.7
LIMASSOL,34.64572,33.00398,28.0,60.0,3.7
LINOU,35.06778,32.89821,28.7,46.0,3.3
LYSOS,35.01187,32.52802,29.0,39.0,0.46
MALLIA,34.81586,32.78518,29.4,44.0,2.1
MAMMARI,35.17236,33.21488,31.7,40.0,2.4
MATHIATIS,34.9611,33.331,31.3,33.0,1.3
PAPHOS,34.77943,32.43855,27.9,57.0,1.4
PAREKLISIA,34.73884,33.15902,30.0,53.0,2.52
PENTAKOMO,34.70764,33.2617,27.9,64.0,5.3
PLATANIA,34.94778,32.92582,28.5,26.0,0.7
POLIS,35.04195,32.43723,30.5,48.0,3.3
POLYSTYPOS,34.94404,33.01886,28.3,29.0,1.2
PRODROMOS,34.94991,32.8306,25.6,37.0,0.7
PYRGOS,35.14154,32.61632,27.1,53.0,3.65
TAMASOS,35.01729,33.24918,31.2,35.0,1.3
TEPAK,34.67696,33.03755,30.9,47.0,1.6
TRIPILOS,34.98935,32.68176,26.6,43.0,1.7
TROODOS,34.92454,32.8815,22.5,31.0,1.3
VISITOR,35.14448,33.40339,33.0,39.0,0.82
XYLIATOS,35.01409,33.0492,28.0,48.0,2.83
XYLOPHAGOU,34.97781,33.83799,28.7,59.0,4.7
ZYGI,34.74133,33.3271,30.8,53.0,1.6
